scenario,pm_mean,pm_std,pm_n,pm_min,pm_max,pm_cv,ci_halfwidth,ci_precision,ci_lower,ci_upper,unit,pm
6,0.19166131147788976,0.017891581174445472,15,0.162570888468809,0.2246013667425968,0.09334998825002543,0.009908027403813333,0.051695500398140255,0.18175328407407643,0.2015693388817031,ldr,prob_blockedby_ldr
7,0.1279418579381183,0.020171009952679668,15,0.1025519848771266,0.1776765375854214,0.15765762884603246,0.011170332986510675,0.08730788474178197,0.11677152495160763,0.13911219092462898,ldr,prob_blockedby_ldr
8,0.10368737885713267,0.015445200686376337,15,0.0803402646502835,0.1321184510250569,0.1489593126629014,0.008553267045876748,0.08249091779687097,0.09513411181125592,0.11224064590300942,ldr,prob_blockedby_ldr
9,0.25715972037496404,0.02440535518308992,15,0.219753086419753,0.3072125813449023,0.09490349090248085,0.01351523521572415,0.05255580149184178,0.2436444851592399,0.2706749555906882,ldr,prob_blockedby_ldr
10,0.24625167969637815,0.022465967737877145,15,0.2123456790123457,0.2939262472885032,0.09123173399498063,0.01244123824662311,0.05052245029135569,0.23381044144975505,0.25869291794300125,ldr,prob_blockedby_ldr
11,0.09530382913513767,0.014821878515010737,15,0.0754458161865569,0.1304229934924078,0.1555223819390699,0.008208082732926487,0.0861254244180231,0.08709574640221118,0.10351191186806416,ldr,prob_blockedby_ldr
12,0.08814187436623454,0.013307798463443953,15,0.0674897119341563,0.1184924078091106,0.15098156873938587,0.007369613147917561,0.083610805884345,0.08077226121831697,0.0955114875141521,ldr,prob_blockedby_ldr
13,0.26005219941491337,0.023459036555725604,15,0.2239297475301866,0.3101952277657266,0.09020895269682647,0.012991181427451004,0.04995605288738039,0.24706101798746236,0.27304338084236435,ldr,prob_blockedby_ldr
14,0.24820259556584012,0.020768816274885582,15,0.2156970362239297,0.2909436008676789,0.08367686980685214,0.011501387093178954,0.0463387059549424,0.23670120847266116,0.25970398265901906,ldr,prob_blockedby_ldr
15,0.10020755936203964,0.01555518373674249,15,0.08205268935236,0.1350325379609544,0.15522964370924558,0.008614173629054497,0.08596331138983608,0.09159338573298514,0.10882173299109413,ldr,prob_blockedby_ldr
16,0.09308690314211733,0.014299387534391566,15,0.0735455543358946,0.1244577006507592,0.15361331241797196,0.00791873687222558,0.08506821695567542,0.08516816626989175,0.10100564001434291,ldr,prob_blockedby_ldr
1,2.0545684064735688,0.035006180549584175,15,2.000947067695664,2.1219874394602583,0.017038216123291934,0.019385776629038894,0.009435449590268137,2.0351826298445297,2.073954183102608,ldr,blockedby_ldr_mean
2,1.9605643334081835,0.056135068305775145,15,1.8660915796646296,2.085329427204475,0.028632097069822598,0.03108656466220861,0.015855926853554816,1.9294777687459748,1.9916508980703922,ldr,blockedby_ldr_mean
3,1.8483100441055014,0.10915478725006218,15,1.5811212740492846,1.999959969475472,0.059056535237781586,0.06044790635249992,0.032704419123445266,1.7878621377530015,1.9087579504580012,ldr,blockedby_ldr_mean
4,1.7410642450589342,0.1080140639378039,15,1.5027610634291315,1.8862871996404984,0.06203910294771901,0.0598161948381388,0.03435611006767533,1.6812480502207954,1.800880439897073,ldr,blockedby_ldr_mean
5,3.8054678402653206,0.32930557545722916,15,3.4626982164676847,4.461221469088128,0.08653484651029653,0.18236334922253575,0.04792140069953166,3.6231044910427848,3.9878311894878564,ldr,blockedby_ldr_mean
6,3.344504070774108,0.26616450189074703,15,2.987319274687285,3.80882908403045,0.07958265149581398,0.14739698816684285,0.044071403427153495,3.1971070826072654,3.4919010589409507,ldr,blockedby_ldr_mean
7,3.3361562303231604,0.46033259197631954,15,2.758221821657846,4.197836570915885,0.1379829241185533,0.2549236924170934,0.07641239642796942,3.081232537906067,3.5910799227402537,ldr,blockedby_ldr_mean
8,2.788119574783037,0.31125758826793337,15,2.394406231038495,3.5614653486424817,0.11163710160894175,0.17236870705470864,0.061822566224808286,2.6157508677283285,2.960488281837746,ldr,blockedby_ldr_mean
9,1.9777236223204642,0.06277026561120276,15,1.8317368772749711,2.0913128333869,0.03173864381391894,0.03476101445459387,0.017576275098443103,1.9429626078658704,2.012484636775058,ldr,blockedby_ldr_mean
10,1.9399059595486163,0.05373587580175069,15,1.8130602980658013,2.0163535836271795,0.02770024780698861,0.029757936138819618,0.015339885932276734,1.9101480234097967,1.969663895687436,ldr,blockedby_ldr_mean
11,1.6925515243389726,0.1105794384931927,15,1.5109732600482102,1.84173925482738,0.06533298212967525,0.06123685191411272,0.036180199558786735,1.63131467242486,1.7537883762530853,ldr,blockedby_ldr_mean
12,1.6341513872713291,0.09564813030828387,15,1.4872478520067045,1.769904396477592,0.058530764685146494,0.05296816904989715,0.03241325709629771,1.581183218221432,1.6871195563212262,ldr,blockedby_ldr_mean
13,2.9725979708960035,0.17638443525135208,15,2.6973827416315337,3.259269648007653,0.05933679460804655,0.09767844446150245,0.03285962158954853,2.874919526434501,3.070276415357506,ldr,blockedby_ldr_mean
14,2.86292869022423,0.1653646447594637,15,2.6296650550034504,3.157240128122518,0.05776065793189981,0.09157588789518513,0.03198678619131542,2.771352802329045,2.954504578119415,ldr,blockedby_ldr_mean
15,2.4517836478881496,0.26249643764636077,15,1.927103200618692,2.8473685310854817,0.10706345883025314,0.1453656818950285,0.059289767276260126,2.306417965993121,2.597149329783178,ldr,blockedby_ldr_mean
16,2.286794782334304,0.20901654435284847,15,1.884916019215592,2.641777345543902,0.09140153107201404,0.1157495041442347,0.05061648077842842,2.171045278190069,2.402544286478539,ldr,blockedby_ldr_mean
1,5.7436367247481,0.3774471534851883,15,5.366462448330593,6.682052851860133,0.06571570793446065,0.20902326651621345,0.036392146044957364,5.534613458231886,5.952659991264314,ldr,blockedby_ldr_p95
2,5.468177043948655,0.3862033732873018,15,5.118539208888478,6.602832306749399,0.0706274449754133,0.2138722994165067,0.039112175355256275,5.254304744532148,5.682049343365162,ldr,blockedby_ldr_p95
3,5.095703295173496,0.5249977688093831,15,4.191673906273262,6.394224665314506,0.10302753877107522,0.29073407372925747,0.057054749244256915,4.804969221444238,5.386437368902754,ldr,blockedby_ldr_p95
4,4.813668133484443,0.6422558347247432,15,3.846413424739694,6.230667321955934,0.13342337213841893,0.35566942623275394,0.07388740070356647,4.457998707251689,5.169337559717197,ldr,blockedby_ldr_p95
5,9.611989687551999,1.0088345035364743,15,8.23341462261478,11.887420753606646,0.10495584538994718,0.5586739265520285,0.05812260985626512,9.05331576099997,10.170663614104027,ldr,blockedby_ldr_p95
6,8.401979008770502,0.6497468325057797,15,7.414788593347112,9.507975521184878,0.07733259412187701,0.35981780253179363,0.042825363186005785,8.042161206238708,8.761796811302295,ldr,blockedby_ldr_p95
7,8.871011532482514,1.4329676303307242,15,7.25987961997398,11.245267652036176,0.16153373548030034,0.79355102333678,0.08945440104897577,8.077460509145734,9.664562555819295,ldr,blockedby_ldr_p95
8,7.224411028529699,0.7345443632270288,15,6.139931015238653,8.936866765854575,0.1016753283175974,0.406777109815482,0.056305920054810145,6.817633918714217,7.631188138345181,ldr,blockedby_ldr_p95
9,5.276413158664051,0.2836059221946568,15,4.764722638826196,5.664018451499896,0.053749756447515146,0.15705572478981883,0.029765622984228968,5.119357433874232,5.43346888345387,ldr,blockedby_ldr_p95
